mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
*NF* Carbidopa-Levodopa (25-100),*NF* Carbidopa-Levodopa (25-100),http://www.nlm.nih.gov/research/umls/rxnorm,197444,carbidopa 25 MG / levodopa 100 MG Oral Tablet,,code-search,,197444,carbidopa 25 MG / levodopa 100 MG Oral Tablet,0.90,ok,Matches carbidopa-levodopa 25-100 strengths
*NF* Nilotinib,*NF* Nilotinib,http://www.nlm.nih.gov/research/umls/rxnorm,662281,nilotinib,,code-search,,662281,nilotinib,0.85,ok,FSN matches input exactly
*NF* Testosterone Gel 1% (25 mg),*NF* Testosterone Gel 1% (25 mg),http://www.nlm.nih.gov/research/umls/rxnorm,1597123,testosterone 1 % (25 MG / 2.5 GM) Transdermal Gel,,code-search,,1597123,testosterone 1 % (25 MG / 2.5 GM) Transdermal Gel,0.90,ok,1% (25 mg) matches 25 MG/2.5 GM gel
0,0,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
0.9% NACL - 100 mL bag (esmolol study control),0.9% NACL - 100 mL bag (esmolol study control),http://www.nlm.nih.gov/research/umls/rxnorm,1807632,sodium chloride 0.9 % in 100 ML Injection,,code-search,,1807632,sodium chloride 0.9 % in 100 ML Injection,0.85,ok,FSN matches 0.9% NaCl 100 mL exactly
1x 5cc of bolus APS 10,1x 5cc of bolus APS 10,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
23.4% Sodium Chloride,23.4% Sodium Chloride,http://www.nlm.nih.gov/research/umls/rxnorm,313016,sodium chloride 23.4 % Injectable Solution,,code-search,,313016,sodium chloride 23.4 % Injectable Solution,0.95,ok,FSN matches input exactly
4-aminopyridine,4-aminopyridine,http://www.nlm.nih.gov/research/umls/rxnorm,897018,dalfampridine,,code-search,,897018,dalfampridine,0.85,ok,4-aminopyridine is the chemical name for dalfampridine/fampridine
5-HTP,5-HTP,http://www.nlm.nih.gov/research/umls/rxnorm,94,5-hydroxytryptophan,,code-search,,94,5-hydroxytryptophan,0.85,ok,FSN matches input exactly as the ingredient
ALPRAZolam,ALPRAZolam,http://www.nlm.nih.gov/research/umls/rxnorm,596,alprazolam,,term-join,Q1-exact,,,,not-needed,
